Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Formamide,75-12-7,"Manufacture of formic esters and hydrocyanic acid by catalytic dehydration. Intermediate in organic synthesis. Softener for paper, animal glues, water soluble glues. Intermediate in the chemical industry; used for producing heterocyclic compounds, pharmaceuticals, crop protection agents, fungicides, and pesticides; used as a solvent in the manufacture and processing of plastics; to produce formic acid; used to remove coating from copper conductors; used in the spinning of acrylonitrile copolymers; employed in the antistatic finishing of plastics or formation of conductive coatings on plastic particles","Carbamaldehyde; formic acid, amide; methanamide; methanoic acid, amide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Fumonisin B1,116355-83-0,Produced by fungus Fusarium moniliforme,"1,2,3-Propanetricarboxylic acid, 1,1'-(1-(12-amino-4,9,11-trihydroxy-2-methyltridecyl)-2-(1-methylpentyl)-1,2-ethanediyl) ester; Macrofusine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"AB-IARC, AB-NTP",,,,,,,,,,,,,,,,
Furaltadone,139-91-3,"Medicine (antibacterial), veterinary medicine",5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene)amino]-2-oxazolidinone; MNAO,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Currently listed,SQE,,,,,,,,,,,,,,,,
Furan,110-00-9,"Chemical intermediate; solvent for resins, production of lacquers, agricultural chemicals, stabilizers, and pharmaceuticals","Oxole; 5-Oxacyclopenta-1,3-diene; 5-Oxacyclo-1,3-pentadiene; 1,4-Epoxybuta-1,3-diene; 1,4-Epoxy-1,3-butadiene; Furfuran; Divinylene oxide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Furathiazole,531-82-8,"Veterinary medicine (analgesic, anti-inflammatory agent); no reported production or use in the US.","n-[4-(5-Nitrofuran-2-yl)-1,3-thiazol-2-yl]acetamide; n-[4-(5-Nitro-2-furyl)-2-thiazolyl]-acetamide; 2-Acetamido-4-(5-nitro-2-furyl)thiazole; Acetamide,N-[4-(5-nitro-2-furanyl)-2-thiazolyl]-; Bactofuril; Furium; Furothiazole, NFTA",Proposition 65 NSRLs/MADLs,4.3 E-4,1.5 E+0,1.5 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Furazolidone,67-45-8,"Medicine (antibacterial), veterinary medicine","2-Oxazolidinone, 3-[[(5-nitro-2-furanyl)methylene]amino]-; Furazol; Furazolidine; Furoxone; Furozolidine; N-(5-Nitro-2-furfurylidene)-3-amino-2-oxazolidone; Nifulidone; Nitrofurazolidone; Nitrofuroxon; 2-Furanmethanimine, 5-nitro-N-(2-oxo-3-oxazolidinyl)-; 2-Oxazolidinone, 3-((5-nitrofurfurylidene)amino)-; 2-Oxazolidinone, 3-((5-nitrofurfurylidine)amino)-; 3-(5'-Nitrofurfuralamino)-2-oxazolidone; 3-((5-Nitrofurfurylidene)amino)-2-oxazolidinone; 3-((5-Nitrofurfurylidene)amino)-2-oxazolidone; 3-((5-Nitrofurylidene)amino)-2-oxazolidone; 3-(((5-Nitro-2-furanyl)methylene)amino)-2-oxazolidinone; Nitrofurazolidonum; N-(5-Nitro-2-furfurylidene)-3-aminooxazolidine-2-one; 5-Nitro-N-(2-oxo-3-oxazolidinyl)-2-furanmethanimine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Furfural,98-01-1,"Chemical intermediate; solvent in petroleum refining and other industries; constituent of rubber cement; weed killer, fungicide; flavoring agent",2-Furaldehyde; Furan-2-carbaldehyde; 2-Furancarboxaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
Furfuryl Alcohol,98-00-0,"Used to produce furan resins, as a chemical intermediate in the synthesis of other chemicals, and as a solvent in textile printing and alkaline paint strippers.","2-furylmethanol, 2-furancarbinol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Furidiazine,712-68-5,"Medicine (antimicrobial), veterinary medicine, conservation. Production of cosmetics and synthetic textiles","2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole; 2-Amino-5-5-nitro-2-furyl-1,3,4-thiadiazole; Furidazina; Furidiazina; Thiafur; Tiafur",Proposition 65 NSRLs/MADLs,4.6 E-3,1.6 E+1,1.6 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Furmecyclox,60568-05-0,"Fungicide, wood preservative","BAS 389; Campogran; 3-Furancarboxamide, n-cyclohexyl-n-methoxy-2,5-dimethyl-; Furmetamide; GUS 215; Xyligen B",,8.6 E-6,3.0 E-2,3.0 E-2,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Furylfuramide,3688-53-7,"Former antimicrobial food additive, used in Japan from 1965 until 1974.",AF-2; [2-(2-furyl)-3(5-nitro-2-furyl)]acrylamide; alpha-((5-nitro-2-furanyl)methylene)-2-furanacetamide; Tofuron,Proposition 65 NSRLs/MADLs,6.9 E-5,2.4 E-1,2.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Fusarin C,79748-81-5,Produced by Fusarium fungi,"(2E,3E,5E,7E,9E)-2-Ethylidene-11-[(1R,5alpha)-4alpha-hydroxy-4-(2-hydroxyethyl)-2-oxo-6-oxa-3-azabicyclo[3.1.0]hexan-1alpha-yl]-4,6,10-trimethyl-11-oxo-3,5,7,9-undecatetraenoic acid methyl ester; 3,5,7,9-Undecatetraenoic acid, 2-ethylidene-11-(4-hydroxy-4-(2-hydroxyethyl)-2-oxo-6-oxa-3-azabicyclo(3.1.0)hex-1-yl)-4,6,10-trimethyl-11-oxo-, methyl ester, (1R-(1-alpha(2E,3E,5E,7E,9E),4-alpha,5-alpha))-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Gallium Arsenide,1303-00-0,"Electronic applications such as in transistors, microprocessors, high efficiency solar cells, diodes",Gallium monoarsenide; Arsinidynegallium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Ganciclovir,82410-32-0,Medicine (antiviral used for cytomegalovirus),"DHPG; 2-Amino-1,9-dihydro-9-((2-hydroxy-1-(hydroxymethyl)ethoxy)methyl)-6h-purin-6-one; 2'-NDG; 2'-nor-2'-Deoxyguanosine; Guanine, 9-((2-hydroxy-1-(hydroxymethyl)ethoxy)methyl)-; 9-(1,3-Dihydroxy-2-propoxymethyl)guanine; Hydroxyacyclovir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",8/26/1997,FR,,,8/26/1997,FR,,,,,,,,
Ganciclovir Sodium,107910-75-8,Medicine (antiviral),"2-Amino-1,9-dihydro-9-[[2-hydroxy-1-(hydroxymethyl)ethoxy]methyl]-6h-purin-6-one sodium salt; 9-[[1-(Hydroxymethyl)-2-hydroxyethoxy]methyl]-2-amino-9H-purine-6(1H)-one/sodium,(1:1) salt; Ganciclovir monosodium salt; 6H-Purin-6-one, 1,9-dihydro-2-amino-9-((2-hydroxy-1-(hydroxymethyl)ethoxy)methyl)-, monosodium salt; 6H-Purin-6-one, 2-amino-1,9-dihydro-9-((2-hydroxy-1-(hydroxymethyl)ethoxy)methyl)-, monosodium salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",8/26/1997,FR,,,8/26/1997,FR,,,,,,,,
Gasoline engine exhaust (condensates/extracts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Gemfibrozil,25812-30-0,Medicine (serum lipid regulating agent),"2,2-Dimethyl-5-[2,5-dimethyl-phenoxy]pentanoic acid; 2,2-Dimethyl-5-(2,5-xylyloxy) valeric acid; 5-(2,5-Dimethyl-phenoxy)-2,2-dimethyl-pentanoic acid; 5-(2,5-Dimethylphylphenoxy)-2,2-dimethylpentanoic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,Currently listed,"Male Reproductive Toxicity, Female Reproductive Toxicity",,,8/20/1999,FR,8/20/1999,FR,,,,,,,,
Gentian Violet,548-62-9,"Dye, antibacterial, antifungal.","Hexamethylenepararosaniline chloride, Crystal violet, Hexamethyl-p-rosanilinium, Methyl violet 10 B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Glass wool fibers (inhalable and biopersistent),,"Thermal insulation, soundproofing, marine vehicle and installation construction","Fiberglass, spun glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Glu-P-1 (2-Amino-6-methyldipyrido[1-2-a:3'-2'-d]imidazole),67730-11-4,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,"6-Me-Glu-P-2; 6-Methyldipyrido(1,2-a:3',2'-d)imidazol-2-amine; Dipyrido(1,2-a:3',2'-d)imidazol-2-amine, 6-methyl-",Proposition 65 NSRLs/MADLs,1.4 E-3,4.8 E+0,4.8 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",67730-10-3,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,"Dipyrido(1,2-a:3',2'-d)imidazol-2-amine",Proposition 65 NSRLs/MADLs,4.0 E-4,1.4 E+0,1.4 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Glutaraldehyde,111-30-8,"Disinfectant, biocide, tissue fixative, medicine (wart treatment); component of hydraulic fracturing (fracking) fluid","Aldesan; Alhydex; Cidex; Cudex; 1,3-diformylpropane; Dioxopentan; Glutamic dialdehyde; Glutaral; Glutaralum; Glutardialdehyde; Glutaric aldehyde; Glutaric dialdehyde; Glutohyde; Hospex; NCI-C55425; Pentanedial; Potentiated acid glutaraldehyde; Sonacide; EPA Pesticide Code: 043901",Chronic Reference Exposure Levels,,,,,,,,,,,,,0.08,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycidaldehyde,765-34-4,Processing wool and leather; manufacture of surgical sutures,"Oxirane-carboxaldehyde; Epihydrinaldehyde; Epihydrine aldehyde; 2,3-Epoxypropanal; 2,3-Epoxypropionaldehyde; Glycidal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Glycidol,556-52-5,"Stabilizer for vinyl polymers, diluent for expoxy resins; chemical intermediate in synthesis of pharmaceuticals; additive in lubricating oil and synthetic hydraulic fluids","Oxiranylmethanol; 2,3-Epoxy-1-propanol; 3-Hydroxypropylene oxide",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Glyphosate,1071-83-6,Herbicide,Gilfonox; Glycel; Glyphosate acid; Muster; N-(phosphonomethyl)glycine; Phosphonomethyliminoacetic acid; Rondo; Roundup; Sonic; Spasor; Sting; EPA Pesticide Code: 417300; 2-[(phosphonomethyl)amino]acetic acid,California Public Health Goals,,,,,,,,,,,,,,,,,Nephrotoxicity,n/a,0.7,n/a,,0.9,2007,,,,,,Currently listed,LC-IARC,,,,,,,,,,,,,,,,
Goldenseal root powder,,Used as a dietary supplement to treat a variety of digestive and haemorrhagic disorders.,Powdered root of goldenseal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Goserelin Acetate,65807-02-5,Medicine (antineoplastic),"Luteinizing hormone-releasing factor (pig), 6-(O-(1,1-dimethylethyl)-D-serine)-10-deglycinamide-, 2-(aminocarbonyl)hydrazide; 1-(5-Oxo-L-prolyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-O-tert-butyl-D-seryl-L-leucyl-L-arginyl-L-prolyl)semicarbazide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",8/26/1997,FR,8/26/1997,FR,8/26/1997,FR,,,,,,,,
Griseofulvin,126-07-8,Medicine (antifungal),"Amudane; Curling factor; Delmofulvin; Fulcin; Fulvina; Fulvinil; Fungivin; Greosin; Gresfeed; Gricin; Grifulvin; Grisactin; Grisetin; Grisofulvin; Grisovin; Grysio; Lamoryl; Likuden; Murfulvin; Neo-fulcin; NSC 34533; Poncyl; Spirofulvin; Sporostatin; 7-chloro-4,6-dimethoxycoumaran-3-one-2-spiro-1'-(2'-met hoxy-6'-methylcyclohex-2'-en-4'-one); (2S,6'R)- 7-chloro- 2',4,6-trimethoxy- 6'-methyl- 3H,4'H-spiro [1-benzofuran- 2,1'-cyclohex[2]ene]- 3,4'-dione",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Gross Alpha Particle Activity,,Alpha radiation is a type of energy released when certain radioactive elements decay or break  down.,,California Public Health Goals,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Gross Beta Particle Activity,,Gross beta particle activity is a measure of the total amount of radioactivity in a water sample attributable to the radioactive decay of beta-emitting elements. Beta particles usually travel greater distances in air than alpha particles (about 6 feet) before being absorbed.,,California Public Health Goals,,,,,,,,,,,,,,,,,,,,,,N/A,4/19/2004,,,,,,,,,,,,,,,,,,,,,,,
Gyromitrin,16568-02-8,Naturally occurring in several mushrooms of the genus Gyromitra. Hydrolyzed in the body to form methylhydrazine (MMH).,Acetaldehyde n-formyl-n-methylhydrazone; Acetaldehyde methylformylhydrazone; Ethylidene gyromitrin; n-Methyl-n-formyl hydrazone of acetaldehyde,Proposition 65 NSRLs/MADLs,2.9 E-3,1.0 E+1,1.0 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Halazepam,23092-17-3,"Medicine (sedative-hypnotic, tranquilizing agent)","2H-1,4-Benzodiazepin-2-one, 1,3-dihydro-7-chloro-5-phenyl-1-(2,2,2-trifluoroethyl)-; 7-Chloro-1,3-dihydro-5-phenyl-1-(2,2,2-trifluoroethyl)-2H-1,4-benzodiazepin-2-one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Halobetasol Propionate,66852-54-8,Medicine (corticosteroid),"21-Chloro-6alpha,9-difluoro-11beta,17-dihydroxy-16beta-methylpregna-1,4-diene-3,20-dione 17-propionate; Pregna-1,4-diene-3,20-dione, 21-chloro-6,9-difluoro-11-hydroxy-16-methyl-17-(1-oxopropoxy)-, (6-alpha,11-beta,16-beta)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,8/20/1999,FR,,,,,,,,,,,,
Haloperidol,52-86-8,Medicine (antipsychotic),"1-(3-p-Fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine; 1-Butanone, 4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidinyl]-1-(4-fluorophenyl)-; 4-(4-(4-Chlorophenyl)-4-hydroxy-1-piperidinyl)-1-(4-fluorophenyl)-1-butanon; 4-(4-Hydroxy-4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",1/29/1999,FR,1/29/1999,FR,,,,,,,,,,
Halothane,151-67-7,"Former anesthetic, phased out during the 1980s and 1990s","1-Bromo-1-chloro-2,2,2-trifluoroethane; 2-Bromo-2-chloro-1,1,1-trifluoroethane; 1,1,1-Trifluoro-2-bromo-2-chloroethane; 1,1,1-Trifluoro-2-chloro-2-bromoethane; Bromochlorotrifluoroethane; Chalothane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,9/1/1996,FR,,,,,,,,,,,,
HC Blue 1,2784-94-3,"Former hair dye, late 1960s to mid-1980s","Ethanol, 2,2'-((4-(methylamino)-3-nitrophenyl)imino)bis-",Proposition 65 NSRLs/MADLs,1.5 E-5,5.1 E-2,5.1 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Heptachlor,76-44-8,Previously used as an insecticide; since 1988 use is restricted to controlling fire ants in underground transformers.,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene; Aahepta; Agroceres; Basaklor; 3-Chlorochlordene; GPKH; Heptachlorane; Heptagran; Heptagranox; Heptamak; Heptamul; Heptasol; Heptox; NCI-C0080; Rhodiachlor; Soleptax; EPA Pesticide Code: 044801",California Public Health Goals,,4.1 E+0,4.1 E+0,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.00001,0.000001,,0.000008,1999,,,,,,Currently listed,SQE,Currently listed,Developmental Toxicity,8/20/1999,AB-US EPA,,,,,3.0 E-5,Dec-05,,,,,,
Heptachlor Epoxide,1024-57-3,Insecticide; degradation product of heptachlor. Commercial sale in the US banned in 1988; use restricted to control of fire ants in power transformers.,"Epoxyheptachlor; HCE;2,3,4,5,6,7,7-heptachloro-1a,1b,5,5a,6,6a-hexahydro-2,5-Methano-2H-indeno[1,2-b]oxirene; Epoxyheptachlor; HCE; 1,4,5,6,7,8,8-heptachloro-2,3-epoxy-3a,4,7,7a-tetrahydro-4,7-methanoindan; Epoxyheptachlor; 1,4,5,6,7,8,8-heptachloro-2,3-epoxy-3a,4,7,7a-tetrahydro-4,7-methanoindan; velsicol 53-cs-17",,,5.5 E+0,5.5 E+0,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.00001,0.000002,,0.000006,1999,,,,,,Currently listed,SQE,,,,,,,,,1.3 E-5,Dec-05,,,,,,
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",37871-00-4,"Found in smoke emissions, byproduct of chemical synthesis","HpCDD; 1,2,3,4,6,7,8-heptachloro dibenzo-p-dioxin",,3.8 E-1,1.3 E+3,1.3 E+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",67562-39-4,"Found in smoke emissions, byproduct of chemical synthesis","13C-1,2,3,4,6,7,8-HpCDF",,3.8 E-1,1.3 E+3,1.3 E+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",55673-89-7,"Found in smoke emissions, byproduct of chemical synthesis","1,2,3,4,7,8,9-HpCDF",,3.8 E-1,1.3 E+3,1.3 E+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbal remedies containing plant species of the genus Aristolochia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Hexachlorobenzene,118-74-1,"Byproduct formed in manufacture of solvents and pesticides. Formerly used as fungicide, pesticide, wood preservative, and in production of rubber, aluminum, and dyes. Not currently produced or used in the US.",AI3-01719; Amatin; Anticarie; Bunt-cure; Bunt-no-more; Caswell No. 477; Granox; HCB; BHC; Benzene hexachloride; Julin's carbon chloride; Pentachlorophenyl chloride; Perchlorobenzene; Phenyl perchloryl; Sanocide; Smut-go; Snieciotox; Voronit C; EPA Pesticide Code: 061001,California Public Health Goals,5.1 E-4,1.8 E+0,1.8 E+0,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.001,0.00003,,0.00003,2003,,,,,,Currently listed,SQE,Currently listed,Developmental Toxicity,1/1/1989,SQE,,,,,,,,,,,,
Hexachlorobutadiene,87-68-3,"Solvent, scrubber, mulling agent; diminishing use as algicide and herbicide","HCBD; 1,1,2,3,4,4-Hexachloro-1,3-butadiene; Hexachloro-1,3-butadiene; Perchlorbutadiene; Perchlorobutadiene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Hexachlorocyclohexane (Technical Grade),608-73-1,"Insecticide containing gamma-HCH (lindane) as well as alpha, beta, delta, and epsilon forms of HCH. Technical grade HCH has not been produced on used in the US in over 20 years.","BHC; HCCH; HCH; TBH; Benzene hexachloride; Hexachlorocyclohexanes; Agrocide; Ambiocide; Benzahex; DBH; DOL; Dolmix; FBHC; Gammacide; Gammacoid; Gammexane; Gamtox; Gexane; Hexablanc; Hexachlor; Hexachloran; 1,2,3,4,5,6-Hexachlorocyclohexane; Hexafor; Hexamul; Hexapoudre; Hexyclan; Isatox; Kotol; Lexone; Lintox; Soprocide; TBH",,1.1 E-3,4.0 E+0,4.0 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Hexachlorocyclohexane- Alpha Isomer,,Byproduct of lindane production; component of technical grade lindane (former insecticide). Not produced or used in the US since 1985.,Alpha-benzenehexachloride; Alpha-BHC; Alpha-HCH; Alpha-Hexachloran; Alpha-hexachlorobenzene,,7.7 E-4,2.7 E+0,2.7 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexachlorocyclohexane- Beta Isomer,,Byproduct of lindane production; component of technical grade lindane (former insecticide). Not produced or used in the US since 1985.,Beta-benzenehexachloride; Beta-BHC; Beta-HCH; Beta-Hexachloran; Beta-hexachlorobenzene,,4.3 E-4,1.5 E+0,1.5 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexachlorocyclohexane- Gamma Isomer,58-89-9,"Insecticide, miticide. Agricultural use in the US ended 2007; the Stockholm Convention (2009) banned production and agricultural use, but pharmaceutical use is allowed until 2015. Pharmaceutical uses have been banned in California since 2002.","Gamma benzene hexachloride; Gamma-BHC; Gamma-hexachlorocyclohexane; Lindane; 1,2,3,4,5,6-hexachlorocyclohexane; EPA Pesticide Code: 009001",,3.1 E-4,,1.1,,,,,,,,,,,,,,,,,,,0.000032,6/22/2005,,,,,,,,,,,,,,,,,,,,,,,
Hexachlorocyclopentadiene,77-47-4,"Chemical intermediate in manufacture of pesticides, flame-retardant textiles, shock-proof plastics, esters, ketones, fluorocarbons, and dyes","C-56; HCCP; HCCPD; Graphlox; Hex; 1,2,3,4,5,5-hexachlorocyclopenta-1,3-diene; Hexachloropentadiene; PCL; Perchlorocyclopentadiene; EPA Pesticide Code: 027502",California Public Health Goals,,,,,,,,,,,,,,,,,Digestive system toxicity (stomach lesions),n/a,0.05,n/a,,0.002,2014,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",39227-28-6,"Found in smoke emissions, byproduct of chemical synthesis","1,2,3,4,7,8-HxCDD; Dibenzo-p-dioxin, hexachloro-; Hcdd;Hexachlorodibenzo-p-dioxin; 1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin; 1,2,3,4,7,8-Hexachlorooxanthrene",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7,"Found in smoke emissions, byproduct of chemical synthesis","13C-1,2,3,6,7,8-HxCDD",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3,"Found in smoke emissions, byproduct of chemical synthesis","13C-1,2,3,7,8,9-HxCDD",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexachlorodibenzo-p-dioxin,34465-46-8,"Contaminant in pesticides and pentachlorophenol (wood preservative); component of diesel emissions, tobacco smoke, stack emissions from waste oil furnaces, combustion of materials containing PVC or polychlorinated biphenyls; byproduct of chlorine-bleached pulp and paper","Dibenzo(b,e)(1,4)dioxin,hexachloro; Hexachlorodibenzo-4-dioxin; Hexachlorodibenzodioxin",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9,"Found in smoke emissions, byproduct of chemical synthesis","HxCDF; Dibenzofuran, 1,2,3,4,7,8-hexachloro-",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,6,7,8-Hexachlorodibenzofuran",57117-44-9,"Found in smoke emissions, byproduct of chemical synthesis",,,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,7,8,9-Hexachlorodibenzofuran",72918-21-9,"Found in smoke emissions, byproduct of chemical synthesis","1,2,3,7,8,9-HxCDF",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3,4,6,7,8-Hexachlorodibenzofuran",60851-34-5,"Found in smoke emissions, byproduct of chemical synthesis","2,3,4,6,7,8-HxCDF; Dibenzofuran, 2,3,4,6,7,8-hexachloro-; 2,3,4,6,7,8-Hexachlorodibenzo[b,d]furan",,3.8 E+0,1.3 E+4,1.3 E+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
