STATE OF CALIFORNIA,,,,,,,,,,,,
ENVIRONMENTAL PROTECTION AGENCY,,,,,,,,,,,,
OFFICE OF ENVIRONMENTAL HEALTH HAZARD ASSESSMENT,,,,,,,,,,,,
SAFE DRINKING WATER AND TOXIC ENFORCEMENT ACT OF 1986,,,,,,,,,,,,
,,,,,,,,,,,,
CHEMICALS KNOWN TO THE STATE TO CAUSE CANCER OR REPRODUCTIVE TOXICITY,,,,,,,,,,,,
13-Sep-19,,,,,,,,,,,,
,,,,,,,,,,,,
"The Safe Drinking Water and Toxic Enforcement Act of 1986 requires that the Governor revise and republish at least once per year the list of chemicals known to the State to cause cancer or reproductive toxicity.  For easy reference, chemicals which are newly added are shown in underline.  Chemicals or endpoints shown in strikeout were placed on the Proposition 65 list on the date noted, and have subsequently been removed.  A hyperlink is provided for the basis for removing the chemical.",,,,,,,,,,,,
"In the Listing Mechanism column, ""AB"" denotes authoritative bodies, ""SQE"" denotes State's Qualified Experts, ""FR"" denotes formally required to be labeled or identified, and ""LC"" denotes Labor Code.  For those chemicals for which the basis for listing documentation is available electronically, a hyperlink to the documentation is provided.  The identification number indicated in the following list is the Chemical Abstracts Service (CAS) Registry Number.  No CAS number is given when several substances are presented as a single listing.  The date refers to the initial appearance of the chemical on the list.  For those chemicals for which a no significant risk level (NSRL) for carcinogens or maximum allowable dose level (MADL) for reproductive toxicants has been adopted, it is denoted in the column, ""NSRL or MADL.""  For those NSRLs or MADLs for which the risk assessment documentation is available electronically, a hyperlink to the documentation is provided.",,,,,,,,,,,,
,,,,,,,,,,,,
Chemical,Type of Toxicity,Listing Mechanism,CAS No.,Date Listed,NSRL or MADL (µg/day)a,,,,,,,
Mebendazole,developmental ,FR,31431-39-7,20-Aug-99,,,,,,,,
Medroxyprogesterone acetate,cancer,AB,71-58-9,1-Jan-90,,,,,,,,
Medroxyprogesterone acetate,developmental,FR,71-58-9,1-Apr-90,,,,,,,,
Megestrol acetate,cancer,FR,595-33-5,28-Mar-14,,,,,,,,
Megestrol acetate,developmental,FR,595-33-5,1-Jan-91,,,,,,,,
"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",cancer,AB,77094-11-2,1-Oct-94,0.46,,,,,,,
"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",cancer,AB,77500-04-0,1-Oct-94,0.41,,,,,,,
Melphalan,cancer,LC,148-82-3,27-Feb-87,0.005,,,,,,,
Melphalan,developmental,FR,148-82-3,1-Jul-90,,,,,,,,
Menotropins,developmental,FR,9002-68-0,1-Apr-90,,,,,,,,
Mepanipyrim,cancer ,AB,110235-47-7,1-Jul-08,,,,,,,,
Meprobamate,developmental,FR,57-53-4,1-Jan-92,,,,,,,,
2?Mercaptobenzothiazole,cancer,LC,149-30-4,27-Oct-17,,,,,,,,
Mercaptopurine,developmental,FR,6112-76-1,1-Jul-90,,,,,,,,
Mercury and mercury compounds,developmental,AB,---,1-Jul-90,,,,,,,,
Merphalan,cancer,SQE,531-76-0,1-Apr-88,,,,,,,,
Mestranol,cancer,SQE,72-33-3,1-Apr-88,,,,,,,,
Metam potassium,cancer,AB,137-41-7,31-Dec-10,,,,,,,,
Methacycline hydrochloride,developmental,FR,3963-95-9,1-Jan-91,,,,,,,,
Metham sodium,cancer ,AB,137-42-8,6-Nov-98,,,,,,,,
Metham sodium,developmental ,AB,137-42-8,15-May-98,290,,,,,,,
Methanol,developmental,AB,67-56-1,16-Mar-12,"47,000 (inhalation)  
23,000 (oral)",,,,,,,
Methazole,developmental ,AB,20354-26-1,1-Dec-99,,,,,,,,
Methimazole,developmental,FR,60-56-0,1-Jul-90,,,,,,,,
Methotrexate,developmental,SQE,59-05-2,1-Jan-89,,,,,,,,
Methotrexate sodium,developmental,FR,15475-56-6,1-Apr-90,,,,,,,,
5-Methoxypsoralen with ultraviolet A therapy,cancer,SQE,484-20-8,1-Oct-88,,,,,,,,
8-Methoxypsoralen with ultraviolet A therapy,cancer,LC,298-81-7,27-Feb-87,,,,,,,,
2-Methylaziridine (Propyleneimine),cancer,SQE,75-55-8,1-Jan-88,0.028,,,,,,,
Methylazoxymethanol,cancer,SQE,590-96-5,1-Apr-88,,,,,,,,
Methylazoxymethanol acetate,cancer,SQE,592-62-1,1-Apr-88,,,,,,,,
"Methyl bromide, as a structural fumigant",developmental,FR,74-83-9,1-Jan-93,810 (inhalation),,,,,,,
Methyl carbamate,cancer ,AB,598-55-0,15-May-98,160,,,,,,,
Methyl chloride,developmental ,AB,74-87-3,10-Mar-00,,,,,,,,
"Methyl chloride [Basis for listing changed effective March 7, 2014]",male ,AB,74-87-3,7-Aug-09,,,,,,,,
3-Methylcholanthrene,cancer,AB,56-49-5,1-Jan-90,0.03,,,,,,,
5-Methylchrysene,cancer,SQE,3697-24-3,1-Apr-88,0.0084 (oral),,,,,,,
"4,4'-Methylene bis(2-chloroaniline)",cancer,FR,101-14-4,1-Jul-87,0.5,,,,,,,
"4,4'-Methylene bis(N,N-dimethyl)benzenamine",cancer,LC,101-61-1,1-Oct-89,20,,,,,,,
"4,4'-Methylene bis(2-methylaniline)",cancer,SQE,838-88-0,1-Apr-88,0.8,,,,,,,
"4,4'-Methylenedianiline",cancer,SQE,101-77-9,1-Jan-88,0.4,,,,,,,
"4,4'-Methylenedianiline dihydrochloride",cancer,SQE,13552-44-8,1-Jan-88,0.6,,,,,,,
Methyleugenol,cancer ,AB,93-15-2,16-Nov-01,,,,,,,,
Methylhydrazine and its salts,cancer,AB,---,1-Jul-92,,,,,,,,
Methylhydrazine,,,,,"0.058 (oral)
0.090 (inhalation)",,,,,,,
Methylhydrazine sulfate,,,,,0.18,,,,,,,
2-Methylimidazole,cancer,LC,693-98-1,22-Jun-12,,,,,,,,
4-Methylimidazole,cancer,AB,822-36-6,7-Jan-11,29,,,,,,,
Methyl iodide,cancer,SQE,74-88-4,1-Apr-88,,,,,,,,
Methyl isobutyl ketone,cancer,LC,108-10-1,4-Nov-11,,,,,,,,
Methyl isobutyl ketone (MIBK),developmental,AB,108-10-1,28-Mar-14,,,,,,,,
Methyl isocyanate (MIC),"developmental, female ",SQE,624-83-9,12-Nov-10,,,,,,,,
"Methyl isopropyl ketone Delisted April 4, 2014 [Click for the basis for delisting]",developmental,LC,563-80-4,17-Feb-12,,,,,,,,
Methyl mercury,developmental,SQE,---,1-Jul-87,,,,,,,,
Methylmercury compounds,cancer,AB,---,1-May-96,,,,,,,,
Methyl methanesulfonate,cancer,SQE,66-27-3,1-Apr-88,7,,,,,,,
Methyl-n-butyl ketone,developmental,SQE,591-78-6,4-Dec-15,,,,,,,,
"Methyl-n-butyl ketone [Basis for listing changed effective November 9, 2015]",male ,SQE,591-78-6,7-Aug-09,,,,,,,,
2-Methyl-1-nitroanthraquinone (of uncertain purity),cancer,SQE,129-15-7,1-Apr-88,0.2,,,,,,,
N-Methyl-N'-nitro-N-nitrosoguanidine,cancer ,SQE,70-25-7,1-Apr-88,0.08,,,,,,,
N-Methylolacrylamide,cancer,AB,924-42-5,1-Jul-90,,,,,,,,
N-Methylpyrrolidone,developmental,AB,872-50-4,15-Jun-01,"3200 (inhalation)
17000 (dermal)",,,,,,,
?-Methyl styrene (alpha-Methylstyrene),cancer,LC,98-83-9,2-Nov-12,,,,,,,,
"?-Methyl styrene Delisted April 4, 2014 [Click for the basis for delisting]",female,LC,98-83-9,29-Jul-11,,,,,,,,
Methyltestosterone,developmental,FR,58-18-4,1-Apr-90,,,,,,,,
Methylthiouracil,cancer,LC,56-04-2,1-Oct-89,2,,,,,,,
Metiram,cancer,AB,9006-42-2,1-Jan-90,,,,,,,,
Metiram,developmental ,AB,9006-42-2,30-Mar-99,,,,,,,,
Metronidazole,cancer,SQE,443-48-1,1-Jan-88,,,,,,,,
Michler's ketone,cancer,SQE,90-94-8,1-Jan-88,0.8,,,,,,,
Midazolam hydrochloride,developmental,FR,59467-96-8,1-Jul-90,,,,,,,,
Minocycline hydrochloride (internal use),developmental,FR,13614-98-7,1-Jan-92,,,,,,,,
Mirex,cancer,SQE,2385-85-5,1-Jan-88,0.04,,,,,,,
Misoprostol,developmental,FR,59122-46-2,1-Apr-90,,,,,,,,
Mitomycin C,cancer,SQE,50-07-7,1-Apr-88,0.00009,,,,,,,
Mitoxantrone hydrochloride,cancer,FR,70476-82-3,23-Jan-15,,,,,,,,
Mitoxantrone hydrochloride,developmental,FR,70476-82-3,1-Jul-90,,,,,,,,
Molinate,"developmental, female, male ",AB,2212-67-1,11-Dec-09,,,,,,,,
"MON 4660 (dichloroacetyl-1-oxa-4-azaspiro(4,5)-decane",cancer,AB,71526-07-3,22-Mar-11,,,,,,,,
MON 13900 (furilazole),cancer,AB,121776-33-8,22-Mar-11,,,,,,,,
"3-Monochloropropane-1,2-diol (3-MCPD)",cancer,SQE,96-24-2,8-Oct-10,,,,,,,,
Monocrotaline,cancer,SQE,315-22-0,1-Apr-88,0.07,,,,,,,
MOPP (vincristine-prednisone-nitrogen mustard-procarbazine mixture),cancer,LC,113803-47-7,4-Nov-11,,,,,,,,
5-(Morpholinomethyl)-3-[(5-nitrofurfuryl-idene)-amino]-2-oxazolidinone,cancer,SQE,139-91-3,1-Apr-88,0.18,,,,,,,
Mustard Gas,cancer,LC,505-60-2,27-Feb-87,,,,,,,,
MX (3-chloro-4-dichloromethyl-5-hydroxy-2(5H)-furanone),cancer,SQE,77439-76-0,22-Dec-00,0.11,,,,,,,
Myclobutanil,"developmental, male ",AB,88671-89-0,16-Apr-99,,,,,,,,
beta-Myrcene,cancer,AB,123-35-3,27-Mar-15,,,,,,,,
Nabam,developmental ,AB,142-59-6,30-Mar-99,,,,,,,,
Nafarelin acetate,developmental,FR,86220-42-0,1-Apr-90,,,,,,,,
Nafenopin,cancer,SQE,3771-19-5,1-Apr-88,,,,,,,,
Nalidixic acid,cancer ,AB,389-08-2,15-May-98,28,,,,,,,
Naphthalene,cancer ,AB,91-20-3,19-Apr-02,5.8,,,,,,,
1-Naphthylamine,cancer,LC,134-32-7,1-Oct-89,,,,,,,,
2-Naphthylamine,cancer,LC,91-59-8,27-Feb-87,0.4,,,,,,,
Neomycin sulfate (internal use),developmental,FR,1405-10-3,1-Oct-92,,,,,,,,
Netilmicin sulfate,developmental,FR,56391-57-2,1-Jul-90,,,,,,,,
Nickel (Metallic),cancer,LC,7440-02-0,1-Oct-89,,,,,,,,
Nickel acetate,cancer,LC,373-02-4,1-Oct-89,,,,,,,,
Nickel carbonate,cancer,LC,3333-67-3,1-Oct-89,,,,,,,,
Nickel carbonyl ,cancer,SQE,13463-39-3,1-Oct-87,,,,,,,,
Nickel carbonyl ,developmental,AB,13463-39-3,1-Sep-96,,,,,,,,
Nickel compounds,cancer ,LC,---,7-May-04,,,,,,,,
Nickel (soluble compounds),"developmental, male ",SQE,---,26-Oct-18,,,,,,,,
Nickel hydroxide,cancer,LC,12054-48-7; 12125-56-3,1-Oct-89,,,,,,,,
Nickelocene,cancer,LC,1271-28-9,1-Oct-89,,,,,,,,
Nickel oxide,cancer,LC,1313-99-1,1-Oct-89,,,,,,,,
Nickel refinery dust from the pyrometallurgical process,cancer,SQE,---,1-Oct-87,0.8,,,,,,,
Nickel subsulfide,cancer,SQE,12035-72-2,1-Oct-87,0.4,,,,,,,
Nicotine,developmental ,FR,54-11-5,1-Apr-90,,,,,,,,
Nifedipine,"developmental, female, male ",FR,21829-25-4,29-Jan-99,,,,,,,,
Nimodipine,developmental ,FR,66085-59-4,24-Apr-01,,,,,,,,
Niridazole,cancer,SQE,61-57-4,1-Apr-88,,,,,,,,
"Nitrapyrin [Basis for listing changed effective on November 4, 2015]",cancer ,SQE,1929-82-4,5-Oct-05,,,,,,,,
Nitrapyrin,developmental ,AB,1929-82-4,30-Mar-99,,,,,,,,
Nitrilotriacetic acid,cancer,SQE,139-13-9,1-Jan-88,100,,,,,,,
"Nitrilotriacetic acid, trisodium salt monohydrate",cancer,SQE,18662-53-8,1-Apr-89,70,,,,,,,
5-Nitroacenaphthene,cancer,SQE,602-87-9,1-Apr-88,6,,,,,,,
"5-Nitro-o-anisidine Delisted December 8, 2006 [Click here for the basis for delisting]",cancer,LC,99-59-2,1-Oct-89,10,,,,,,,
o-Nitroanisole,cancer,AB,91-23-6,1-Oct-92,,,,,,,,
para-Nitroanisole,cancer,LC,100-17-4,13-Sep-19,,,,,,,,
Nitrobenzene,cancer ,AB,98-95-3,26-Aug-97,,,,,,,,
Nitrobenzene,male ,AB,98-95-3,30-Mar-10,,,,,,,,
4-Nitrobiphenyl,cancer,SQE,92-93-3,1-Apr-88,,,,,,,,
6-Nitrochrysene,cancer,AB,7496-02-8,1-Oct-90,,,,,,,,
Nitrofen (technical grade),cancer,SQE,1836-75-5,1-Jan-88,9,,,,,,,
2-Nitrofluorene,cancer,AB,607-57-8,1-Oct-90,,,,,,,,
Nitrofurantoin,male,AB,67-20-9,1-Apr-91,,,,,,,,
Nitrofurazone,cancer,AB,59-87-0,1-Jan-90,0.5,,,,,,,
1-[(5-Nitrofurfurylidene)-amino]-2-imidazolidinone,cancer,SQE,555-84-0,1-Apr-88,0.4,,,,,,,
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,cancer,SQE,531-82-8,1-Apr-88,0.5,,,,,,,
Nitrogen mustard (Mechlorethamine),cancer,SQE,51-75-2,1-Jan-88,,,,,,,,
Nitrogen mustard (Mechlorethamine),developmental,SQE,51-75-2,1-Jan-89,,,,,,,,
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),cancer,SQE,55-86-7,1-Apr-88,,,,,,,,
Nitrogen mustard hydrochloride (Mechlorethamine hydrochloride),developmental,FR,55-86-7,1-Jul-90,,,,,,,,
Nitrogen mustard N-oxide,cancer,SQE,126-85-2,1-Apr-88,,,,,,,,
Nitrogen mustard N-oxide hydrochloride,cancer,SQE,302-70-5,1-Apr-88,,,,,,,,
Nitromethane ,cancer ,AB,75-52-5,1-May-97,39,,,,,,,
2-Nitropropane,cancer,SQE,79-46-9,1-Jan-88,,,,,,,,
1-Nitropyrene,cancer,AB,5522-43-0,1-Oct-90,,,,,,,,
4-Nitropyrene,cancer,AB,57835-92-4,1-Oct-90,,,,,,,,
N-Nitrosodi-n-butylamine,cancer,SQE,924-16-3,1-Oct-87,0.06,,,,,,,
N-Nitrosodiethanolamine,cancer,SQE,1116-54-7,1-Jan-88,0.3,,,,,,,
N-Nitrosodiethylamine,cancer,SQE,55-18-5,1-Oct-87,0.02,,,,,,,
N-Nitrosodimethylamine,cancer,SQE,62-75-9,1-Oct-87,0.04,,,,,,,
p-Nitrosodiphenylamine,cancer,SQE,156-10-5,1-Jan-88,30,,,,,,,
N-Nitrosodiphenylamine,cancer,SQE,86-30-6,1-Apr-88,80,,,,,,,
N-Nitrosodi-n-propylamine,cancer,SQE,621-64-7,1-Jan-88,0.1,,,,,,,
N-Nitroso-N-ethylurea,cancer,SQE,759-73-9,1-Oct-87,0.03,,,,,,,
N-Nitrosohexamethyleneimine,cancer,SQE,932-83-2,23-Nov-18,,,,,,,,
3-(N-Nitrosomethylamino) propionitrile,cancer,AB,60153-49-3,1-Apr-90,,,,,,,,
4-(N-Nitrosomethylamino)-1-(3-pyridyl)1-butanone,cancer,AB,64091-91-4,1-Apr-90,0.014,,,,,,,
N-Nitrosomethyl-n-butylamine,cancer,SQE,7068-83-9,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-decylamine,cancer,SQE,75881-22-0,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-dodecylamine,cancer,SQE,55090-44-3,26-Dec-14,,,,,,,,
N-Nitrosomethylethylamine,cancer,LC,10595-95-6,1-Oct-89,0.03,,,,,,,
N-Nitrosomethyl-n-heptylamine  ,cancer,SQE,16338-99-1,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-hexylamine,cancer,SQE,28538-70-7,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-nonylamine ,cancer,SQE,75881-19-5,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-octylamine,cancer,SQE,34423-54-6,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-pentylamine,cancer,SQE,13256-07-0,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-propylamine,cancer,SQE,924-46-9,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-tetradecylamine,cancer,SQE,75881-20-8,26-Dec-14,,,,,,,,
N-Nitrosomethyl-n-undecylamine,cancer,SQE,68107-26-6,26-Dec-14,,,,,,,,
N-Nitroso-N-methylurea,cancer,SQE,684-93-5,1-Oct-87,0.006,,,,,,,
N-Nitroso-N-methylurethane,cancer,SQE,615-53-2,1-Apr-88,0.006,,,,,,,
N-Nitrosomethylvinylamine,cancer,SQE,4549-40-0,1-Jan-88,,,,,,,,
N-Nitrosomorpholine,cancer,SQE,59-89-2,1-Jan-88,0.1,,,,,,,
N-Nitrosonornicotine,cancer,SQE,16543-55-8,1-Jan-88,0.5,,,,,,,
N-Nitrosopiperidine,cancer,SQE,100-75-4,1-Jan-88,0.07,,,,,,,
N-Nitrosopyrrolidine,cancer,SQE,930-55-2,1-Oct-87,0.3,,,,,,,
N-Nitrososarcosine,cancer,SQE,13256-22-9,1-Jan-88,,,,,,,,
o-Nitrotoluene,cancer ,AB,88-72-2,15-May-98,,,,,,,,
"Nitrous oxide [Basis for listing changed effective November 8, 2013]","developmental, female",AB,10024-97-2,1-Aug-08,,,,,,,,
Norethisterone (Norethindrone) ,cancer,LC,68-22-4,1-Oct-89,,,,,,,,
Norethisterone (Norethindrone) ,developmental,FR,68-22-4,1-Apr-90,,,,,,,,
Norethisterone acetate (Norethindrone acetate),developmental,FR,51-98-9,1-Oct-91,,,,,,,,
Norethisterone (Norethindrone) /Ethinyl estradiol,developmental,FR,68-22-4/               57-63-6,1-Apr-90,,,,,,,,
Norethisterone (Norethindrone) /Mestranol,developmental,FR,68-22-4/           72-33-3,1-Apr-90,,,,,,,,
Norethynodrel,cancer ,AB,68-23-5,27-Feb-01,,,,,,,,
Norgestrel,developmental,FR,6533-00-2,1-Apr-90,,,,,,,,
,,,,,,,,,,,,
Ochratoxin A,cancer,AB,303-47-9,1-Jul-90,,,,,,,,
Oil Orange SS,cancer,SQE,2646-17-5,1-Apr-88,,,,,,,,
"Oral contraceptives, combined",cancer,LC,---,1-Oct-89,,,,,,,,
"Oral contraceptives, sequential",cancer,LC,---,1-Oct-89,,,,,,,,
Oryzalin,cancer,AB,19044-88-3,12-Sep-08,,,,,,,,
Oxadiazon,cancer,SQE,19666-30-9,1-Jul-91,,,,,,,,
Oxadiazon,developmental ,AB,19666-30-9,15-May-98,,,,,,,,
Oxazepam ,cancer,AB,604-75-1,1-Oct-94,,,,,,,,
Oxazepam ,developmental,FR,604-75-1,1-Oct-92,,,,,,,,
"p,p'-Oxybis(benzenesulfonyl hydrazide)  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,LC,80-51-3,7-Aug-09,,,,,,,,
Oxydemeton methyl,"female, male ",AB,301-12-2,6-Nov-98,,,,,,,,
Oxymetholone ,cancer,SQE,434-07-1,1-Jan-88,,,,,,,,
Oxymetholone ,developmental ,FR,434-07-1,1-May-97,,,,,,,,
Oxytetracycline (internal use),developmental,FR,79-57-2,1-Jan-91,,,,,,,,
Oxytetracycline hydrochloride (internal use),developmental,FR,2058-46-0,1-Oct-91,,,,,,,,
Oxythioquinox (Chinomethionat),cancer ,AB,2439-01-2,20-Aug-99,,,,,,,,
Oxythioquinox (Chinomethionat),developmental ,AB,2439-01-2,6-Nov-98,,,,,,,,
,,,,,,,,,,,,
Paclitaxel,"developmental, female, male ",FR,33069-62-4,26-Aug-97,,,,,,,,
Palygorskite fibers (> 5µm in length),cancer ,AB,12174-11-7,28-Dec-99,,,,,,,,
Panfuran S,cancer,SQE,794-93-4,1-Jan-88,,,,,,,,
Paramethadione,developmental,FR,115-67-3,1-Jul-90,,,,,,,,
Parathion,cancer,LC,56-38-2,20-May-16,,,,,,,,
Penicillamine,developmental,FR,52-67-5,1-Jan-91,,,,,,,,
pentabromodiphenyl ether mixture [DE-71 (technical grade)],cancer,AB,---,7-Jul-17,,,,,,,,
Pentachlorophenol,cancer,AB,87-86-5,1-Jan-90,40,,,,,,,
Pentachlorophenol and by-products of its synthesis (complex mixture),cancer,AB,---,21-Oct-16,,,,,,,,
Pentobarbital sodium,developmental,FR,57-33-0,1-Jul-90,,,,,,,,
Pentosan polysulfate sodium,cancer,LC, ---,18-Apr-14,,,,,,,,
Pentostatin,developmental,FR,53910-25-1,1-Sep-96,,,,,,,,
Perfluorooctane sulfonate (PFOS),developmental,AB,1763-23-1,10-Nov-17,,,,,,,,
Perfluorooctanoic acid (PFOA),developmental,AB,335-67-1,10-Nov-17,,,,,,,,
Pertuzumab,developmental,FR,380610-27-5,27-Jan-17,,,,,,,,
Phenacemide,developmental,FR,63-98-9,1-Jul-90,,,,,,,,
Phenacetin,cancer,LC,62-44-2,1-Oct-89,300,,,,,,,
Phenazopyridine,cancer,SQE,94-78-0,1-Jan-88,4,,,,,,,
Phenazopyridine hydrochloride,cancer,SQE,136-40-3,1-Jan-88,5,,,,,,,
Phenesterin,cancer,SQE,3546-10-9,1-Jul-89,0.005,,,,,,,
Phenobarbital,cancer,AB,50-06-6,1-Jan-90,2,,,,,,,
Phenolphthalein,cancer  ,AB,77-09-8,15-May-98,,,,,,,,
Phenoxybenzamine,cancer,SQE,59-96-1,1-Apr-88,0.2,,,,,,,
Phenoxybenzamine hydrochloride,cancer,SQE,63-92-3,1-Apr-88,0.3,,,,,,,
Phenprocoumon,developmental,FR,435-97-2,1-Oct-92,,,,,,,,
o-Phenylenediamine and its salts,cancer ,AB,95-54-5,15-May-98,,,,,,,,
   o-Phenylenediamine,,,,,26,,,,,,,
   o-Phenylenediamine dihydrochloride,,,,,44,,,,,,,
Phenyl glycidyl ether,cancer,AB,122-60-1,1-Oct-90,5,,,,,,,
"Phenyl glycidyl ether   
Delisted April 4, 2014 [Click here  for the basis for delisting]",male ,LC,122-60-1,7-Aug-09,,,,,,,,
Phenylhydrazine and its salts,cancer,AB,---,1-Jul-92,,,,,,,,
   Phenylhydrazine,,,,,1,,,,,,,
   Phenylhydrazine hydrochloride,,,,,1.4,,,,,,,
"o-Phenylphenate, sodium",cancer,AB,132-27-4,1-Jan-90,200,,,,,,,
o-Phenylphenol,cancer,AB,90-43-7,4-Aug-00,,,,,,,,
"Phenylphosphine [Basis for listing changed effective June 6, 2014]",developmental male,LC SQE,638-21-1,7-Aug-09,,,,,,,,
"PhiP(2-Amino-1-methyl-6-phenylimidazol[4,5-b]pyridine)",cancer,AB,105650-23-5,1-Oct-94,,,,,,,,
Pimozide,"developmental, female ",FR,2062-78-4,20-Aug-99,,,,,,,,
Pioglitazone,cancer,LC,111025-46-8,18-Apr-14,,,,,,,,
Pipobroman,developmental,FR,54-91-1,1-Jul-90,,,,,,,,
Pirimicarb,cancer ,AB,23103-98-2,1-Jul-08,,,,,,,,
Plicamycin,developmental,FR,18378-89-7,1-Apr-90,,,,,,,,
Polybrominated biphenyls,cancer,SQE,---,1-Jan-88,0.02,,,,,,,
Polybrominated biphenyls,developmental,AB,---,1-Oct-94,,,,,,,,
Polychlorinated biphenyls,cancer,LC,---,1-Oct-89,0.09,,,,,,,
Polychlorinated biphenyls,developmental,SQE,---,1-Jan-91,,,,,,,,
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),cancer,SQE,---,1-Jan-88,,,,,,,,
Polychlorinated dibenzo-p-dioxins,cancer,FR,---,1-Oct-92,,,,,,,,
Polychlorinated dibenzofurans,cancer,FR,---,1-Oct-92,,,,,,,,
Polygeenan,cancer,SQE,53973-98-1,1-Jan-88,1200,,,,,,,
Ponceau MX,cancer,SQE,3761-53-3,1-Apr-88,200,,,,,,,
Ponceau 3R,cancer,SQE,3564-09-8,1-Apr-88,40,,,,,,,
Potassium bromate,cancer,AB,7758-01-2,1-Jan-90,1,,,,,,,
Potassium dimethyldithiocarbamate,developmental ,AB,128-03-0,30-Mar-99,720,,,,,,,
Pravastatin sodium,developmental ,FR,81131-70-6,3-Mar-00,,,,,,,,
Prednisolone sodium phosphate,developmental ,FR,125-02-0,20-Aug-99,,,,,,,,
Primidone,cancer ,AB,125-33-7,20-Aug-99,,,,,,,,
Procarbazine,cancer,SQE,671-16-9,1-Jan-88,0.05,,,,,,,
Procarbazine hydrochloride,cancer,SQE,366-70-1,1-Jan-88,0.06,,,,,,,
Procarbazine hydrochloride,developmental,FR,366-70-1,1-Jul-90,,,,,,,,
Procymidone,cancer,AB,32809-16-8,1-Oct-94,,,,,,,,
Progesterone,cancer,SQE,57-83-0,1-Jan-88,,,,,,,,
Pronamide,cancer,AB,23950-58-5,1-May-96,,,,,,,,
Propachlor,cancer ,AB,1918-16-7,27-Feb-01,,,,,,,,
"1,3-Propane sultone",cancer,SQE,1120-71-4,1-Jan-88,0.3,,,,,,,
Propargite,cancer,AB,2312-35-8,1-Oct-94,,,,,,,,
Propargite,developmental ,AB,2312-35-8,15-Jun-99,,,,,,,,
Propazine,"developmental, female",AB,139-40-2,15-Jul-16,100 (oral),,,,,,,
beta-Propiolactone,cancer,SQE,57-57-8,1-Jan-88,0.05,,,,,,,
Propoxur,cancer ,AB,114-26-1,11-Aug-06,,,,,,,,
Propylene glycol mono-t-butyl ether,cancer ,AB,57018-52-7,11-Jun-04,,,,,,,,
Propylene oxide,cancer,SQE,75-56-9,1-Oct-88,,,,,,,,
Propylthiouracil,cancer,SQE,51-52-5,1-Jan-88,0.7,,,,,,,
Propylthiouracil,developmental,FR,51-52-5,1-Jul-90,,,,,,,,
Pulegone,cancer,LC,89-82-7,18-Apr-14,,,,,,,,
Pymetrozine,cancer,AB,123312-89-0,22-Mar-11,,,,,,,,
Pyridine,cancer,AB,110-86-1,17-May-02,,,,,,,,
Pyrimethamine,developmental ,FR,58-14-0,29-Jan-99,,,,,,,,
,,,,,,,,,,,,
Quazepam,developmental ,FR,36735-22-5,26-Aug-97,,,,,,,,
Quinoline and its strong acid salts,cancer,SQE,---,24-Oct-97,,,,,,,,
Quizalofop-ethyl,male ,SQE,76578-14-8,24-Dec-99,590,,,,,,,
,,,,,,,,,,,,
Radionuclides,cancer,SQE,---,1-Jul-89,,,,,,,,
Reserpine,cancer,LC,50-55-5,1-Oct-89,0.06,,,,,,,
Residual (heavy) fuel oils,cancer,AB,---,1-Oct-90,,,,,,,,
Resmethrin,cancer ,AB,10453-86-8,1-Jul-08,,,,,,,,
Resmethrin,developmental ,AB,10453-86-8,6-Nov-98,,,,,,,,
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.  (NOTE:  Retinol/retinyl esters are required and essential for maintenance of normal reproductive function.  The recommended daily level during pregnancy is 8,000 IU.)",developmental,SQE, ---,1-Jul-89,,,,,,,,
Ribavirin,developmental,FR,36791-04-5,1-Apr-90,,,,,,,,
Ribavirin,male ,FR,36791-04-5,27-Feb-01,,,,,,,,
Riddelliine,cancer ,LC,23246-96-0,3-Dec-04,,,,,,,,
Rifampin,"developmental, female ",FR,13292-46-1,27-Feb-01,,,,,,,,
,,,,,,,,,,,,
"Saccharin  Delisted April 6, 2001  [Click here for the basis for delisting]",cancer,LC,81-07-2,1-Oct-89,,,,,,,,
"Saccharin, sodium  Delisted January 17, 2003 [Click here for the basis for delisting]",cancer,SQE,128-44-9,1-Jan-88,,,,,,,,
Safrole,cancer,SQE,94-59-7,1-Jan-88,3,,,,,,,
"Salted fish, Chinese-style",cancer,LC, ---,29-Apr-11,,,,,,,,
Secobarbital sodium ,developmental,FR,309-43-3,1-Oct-92,,,,,,,,
