	raw_drug_name	source_name	drug_UMLS_CUI	drug_ChEBI_ID	drug_cas#	predicate_raw	predicate_aggregate	predicate_string	indication_raw_string	umls_phen_cui	umls_phen_PT	drug_cas_wdid	drug_chebi_wdid	drug_cui_wdid	phen_cui_wdid
14736	leflunomide	NDFRT	C0063041	6402.0	75706-12-6	may_treat			Arthritis, Rheumatoid	C0003873	Rheumatoid Arthritis	Q248550	Q248550	Q248550	Q187255
14797	Leuprolide	NDFRT	C0085272	6427.0	53714-56-0	may_treat			Endometriosis	C0014175	Endometriosis	Q907160	Q907160	Q907160	Q205764
14798	Leuprolide	NDFRT	C0085272	6427.0	53714-56-0	may_treat			Infertility	C0021359	Infertility	Q907160	Q907160	Q907160	Q179399
14813	Levamisole	NDFRT	C0023556	6432.0	14769-73-4	may_treat			Colonic Neoplasms	C0009375	Colonic Neoplasms	Q417097	Q417097	Q417097	Q18555061
14829	Levobunolol	NDFRT	C0006388	6438.0	47141-42-4	may_treat			Glaucoma, Open-Angle	C0017612	Glaucoma, Open-Angle	Q408556	Q408556	Q408556	Q3108586
14834	LEVOBUPIVACAINE	NDFRT	C0873118	6149.0	27262-47-1	may_prevent&treat			Pain	C0030193	Pain	Q3272027	Q3272027	Q3272027	Q81938
14845	Levodopa	NDFRT	C0023570	15765.0	59-92-7	may_treat			Parkinson Disease	C0030567	Parkinson Disease	Q300989	Q300989	Q300989	Q11085
14921	Lidocaine	NDFRT	C0023660	6456.0	137-58-6	may_treat			Esophageal Diseases	C0014852	Esophageal Diseases	Q216935	Q216935	Q216935	Q2912193
14922	Lidocaine	NDFRT	C0023660	6456.0	137-58-6	may_treat			Mouth Diseases	C0026636	Mouth Diseases	Q216935	Q216935	Q216935	Q2508462
14923	Lidocaine	NDFRT	C0023660	6456.0	137-58-6	may_prevent&treat			Pain	C0030193	Pain	Q216935	Q216935	Q216935	Q81938
14924	Lidocaine	NDFRT	C0023660	6456.0	137-58-6	may_treat			Tachycardia, Paroxysmal	C0039236	Tachycardia, Paroxysmal	Q216935	Q216935	Q216935	Q3980025
14925	Lidocaine	NDFRT	C0023660	6456.0	137-58-6	may_treat			Tachycardia, Ventricular	C0042514	Tachycardia, Ventricular	Q216935	Q216935	Q216935	Q56002
14926	Lidocaine	NDFRT	C0023660	6456.0	137-58-6	may_treat			Ventricular Fibrillation	C0042510	Ventricular Fibrillation	Q216935	Q216935	Q216935	Q848662
14945	Lincomycin	NDFRT	C0023726	6472.0	154-21-2	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q423428	Q423428	Q423428	Q34879
14946	Lincomycin	NDFRT	C0023726	6472.0	154-21-2	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q423428	Q423428	Q423428	Q11564537
14950	Lindane	NDFRT	C0005038	32888.0	58-89-9	may_treat			Lice Infestations	C0030756	Lice Infestations	Q282003	Q282003	Q282003	Q1343674
14951	Lindane	NDFRT	C0005038	32888.0	58-89-9	may_treat			Scabies	C0036262	Scabies	Q282003	Q282003	Q282003	Q167178
14956	linezolid	NDFRT	C0663241	63607.0	165800-03-3	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q411377	Q411377	Q411377	Q3776920
14959	linezolid	NDFRT	C0663241	63607.0	165800-03-3	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q411377	Q411377	Q411377	Q34879
14960	linezolid	NDFRT	C0663241	63607.0	165800-03-3	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q411377	Q411377	Q411377	Q11564537
15054	lomefloxacin	NDFRT	C0065162	116278.0	98079-51-7	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q203618	Q203618	Q203618	Q18975220
15058	lomefloxacin	NDFRT	C0065162	116278.0	98079-51-7	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q203618	Q203618	Q203618	Q34879
15059	lomefloxacin	NDFRT	C0065162	116278.0	98079-51-7	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q203618	Q203618	Q203618	Q11564537
15060	lomefloxacin	NDFRT	C0065162	116278.0	98079-51-7	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q203618	Q203618	Q203618	Q55779861
15072	Lomustine	NDFRT	C0023972	6520.0	13010-47-4	may_treat			Brain Neoplasms	C0006118	Brain Neoplasms	Q415378	Q415378	Q415378	Q18554460
15073	Lomustine	NDFRT	C0023972	6520.0	13010-47-4	may_treat			Colonic Neoplasms	C0009375	Colonic Neoplasms	Q415378	Q415378	Q415378	Q18555061
15076	Lomustine	NDFRT	C0023972	6520.0	13010-47-4	may_treat			Lung Neoplasms	C0024121	Lung Neoplasms	Q415378	Q415378	Q415378	Q18556020
15078	Lomustine	NDFRT	C0023972	6520.0	13010-47-4	may_treat			Melanoma	C0025202	Melanoma	Q415378	Q415378	Q415378	Q180614
15097	Loperamide	NDFRT	C0023992	6532.0	53179-11-6	may_treat			Colonic Diseases, Functional	C0009374	Colonic Diseases, Functional	Q423751	Q423751	Q423751	Q18556106
15099	Loperamide	NDFRT	C0023992	6532.0	53179-11-6	may_treat			Dysentery, Bacillary	C1527298	Dysentery, Bacillary	Q423751	Q423751	Q423751	Q3778137
15162	Losartan	NDFRT	C0126174	6541.0	114798-26-4	may_treat			Diabetic Nephropathies	C0011881	Diabetic Nephropathy	Q410074	Q410074	Q410074	Q1129105
15164	Losartan	NDFRT	C0126174	6541.0	114798-26-4	may_treat			Hypertension	C0020538	Hypertensive Disease	Q410074	Q410074	Q410074	Q41861
15189	Lovastatin	NDFRT	C0024027	40303.0	75330-75-5	may_treat			Hypercholesterolemia	C0020443	Hypercholesterolemia	Q417740	Q417740	Q417740	Q762713
15203	Loxapine	NDFRT	C0024056	50841.0	1977-10-2	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q58614	Q58614	Q58614	Q170082
15288	Mafenide	NDFRT	C0024452	6633.0	138-39-6	may_treat			Bacterial Infections	C0004623	Bacterial Infections	Q3843044	Q3843044	Q3843044	Q727028
15290	Mafenide	NDFRT	C0024452	6633.0	138-39-6	may_treat			Wound Infection	C0043241	Wound Infection	Q3843044	Q3843044	Q3843044	Q2112335
15313	Malathion	NDFRT	C0024547	6651.0	121-75-5	may_treat			Lice Infestations	C0030756	Lice Infestations	Q423005	Q423005	Q423005	Q1343674
15354	Maprotiline	NDFRT	C0024778	6690.0	10262-69-8	may_treat			Bulimia	C0006370	Bulimia	Q418361	Q418361	Q418361	Q180913
15356	Maprotiline	NDFRT	C0024778	6690.0	10262-69-8	may_treat			Depressive Disorder	C0011581	Depressive Disorder	Q418361	Q418361	Q418361	Q66793701
15357	Maprotiline	NDFRT	C0024778	6690.0	10262-69-8	may_treat			Duodenal Ulcer	C0013295	Duodenal Ulcer	Q418361	Q418361	Q418361	Q18968110
15358	Maprotiline	NDFRT	C0024778	6690.0	10262-69-8	may_treat			Enuresis	C0014394	Enuresis	Q418361	Q418361	Q418361	Q3448862
15359	Maprotiline	NDFRT	C0024778	6690.0	10262-69-8	may_treat			Pain	C0030193	Pain	Q418361	Q418361	Q418361	Q81938
15360	Maprotiline	NDFRT	C0024778	6690.0	10262-69-8	may_treat			Panic Disorder	C0030319	Panic Disorder	Q418361	Q418361	Q418361	Q741713
15379	MASOPROCOL	NDFRT	C0733397	73468.0	27686-84-6	may_treat			Keratosis	C0022593	Keratosis	Q6783851	Q6783851	Q6783851	Q3667186
15409	Mebendazole	NDFRT	C0025023	6704.0	31431-39-7	may_treat			Ancylostomiasis	C0002831	Ancylostomiasis	Q422194	Q422194	Q422194	Q11679861
15410	Mebendazole	NDFRT	C0025023	6704.0	31431-39-7	may_treat			Ascariasis	C0003950	Ascariasis	Q422194	Q422194	Q422194	Q842428
15446	Mechlorethamine	NDFRT	C0025033	28925.0	51-75-2	may_treat			Mycosis Fungoides	C0026948	Mycosis Fungoides	Q418011	Q418011	Q418011	Q1891209
15454	Meclizine	NDFRT	C0025039	6709.0	569-65-3	may_prevent&treat			Motion Sickness	C0026603	Motion Sickness	Q386441	Q386441	Q386441	Q309067
15507	medrysone	NDFRT	C0065865	34829.0	2668-66-8	may_treat			Conjunctivitis, Allergic	C0009766	Allergic Conjunctivitis	Q6807292	Q6807292	Q6807292	Q471521
15509	medrysone	NDFRT	C0065865	34829.0	2668-66-8	may_treat			Scleritis	C0036416	Scleritis	Q6807292	Q6807292	Q6807292	Q511000
15530	Megestrol	NDFRT	C0025175	6722.0	3562-63-8	may_treat			Anorexia	C0003123	Anorexia	Q410513	Q410513	Q410513	Q254327
15532	Megestrol	NDFRT	C0025175	6722.0	3562-63-8	may_treat			Cachexia	C0006625	Cachexia	Q410513	Q410513	Q410513	Q6003455
15536	Meglumine	NDFRT	C0025179	59732.0	6284-40-8	may_treat			Leishmaniasis, Cutaneous	C0023283	Leishmaniasis, Cutaneous	Q288875	Q288875	Q288875	Q2590966
15537	Meglumine	NDFRT	C0025179	59732.0	6284-40-8	may_treat			Leishmaniasis, Visceral	C0023290	Leishmaniasis, Visceral	Q288875	Q288875	Q288875	Q2046113
15584	Melphalan	NDFRT	C0025241	28876.0	148-82-3	may_treat			Multiple Myeloma	C0026764	Multiple Myeloma	Q2298283	Q2298283	Q2298283	Q467635
15587	Melphalan	NDFRT	C0025241	28876.0	148-82-3	may_treat			Rhabdomyosarcoma	C0035412	Rhabdomyosarcoma	Q2298283	Q2298283	Q2298283	Q1898141
15615	Meperidine	NDFRT	C0025376	6754.0	57-42-1	may_treat			Pain	C0030193	Pain	Q55434	Q55434	Q55434	Q81938
15651	Mepivacaine	NDFRT	C0025384	6759.0	96-88-8	may_prevent&treat			Pain	C0030193	Pain	Q416760	Q416760	Q416760	Q81938
15703	Mesalamine	NDFRT	C0127615	6775.0	89-57-6	may_treat			Colitis, Ulcerative	C0009324	Ulcerative Colitis	Q412479	Q412479	Q412479	Q1477
15704	Mesalamine	NDFRT	C0127615	6775.0	89-57-6	may_treat			Proctitis	C0033246	Proctitis	Q412479	Q412479	Q412479	Q941770
15705	Mesalamine	NDFRT	C0127615	6775.0	89-57-6	may_treat			Sigmoid Diseases	C0037072	Sigmoid Diseases	Q412479	Q412479	Q412479	Q18554932
15717	Mesoridazine	NDFRT	C0025497	6780.0	5588-33-0	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q6821618	Q6821618	Q6821618	Q170082
15718	Mesoridazine	NDFRT	C0025497	6780.0	5588-33-0	may_treat			Schizophrenia	C0036341	Schizophrenia	Q6821618	Q6821618	Q6821618	Q41112
15752	Metaraminol	NDFRT	C0025575	6794.0	54-49-9	may_treat			Hypotension	C0020649	Hypotension	Q409981	Q409981	Q409981	Q275419
15755	metaxalone	NDFRT	C0163055	6797.0	1665-48-1	may_treat			Muscle Cramp	C0026821	Muscle Cramp	Q6823309	Q6823309	Q6823309	Q2006818
15756	metaxalone	NDFRT	C0163055	6797.0	1665-48-1	may_treat			Muscle Rigidity	C0026837	Muscle Rigidity	Q6823309	Q6823309	Q6823309	Q21504918
15757	metaxalone	NDFRT	C0163055	6797.0	1665-48-1	may_treat			Muscle Spasticity	C0026838	Muscle Spasticity	Q6823309	Q6823309	Q6823309	Q117060
15758	metaxalone	NDFRT	C0163055	6797.0	1665-48-1	may_treat			Myositis	C0027121	Myositis	Q6823309	Q6823309	Q6823309	Q1433212
15759	metaxalone	NDFRT	C0163055	6797.0	1665-48-1	may_treat			Pain	C0030193	Pain	Q6823309	Q6823309	Q6823309	Q81938
15760	metaxalone	NDFRT	C0163055	6797.0	1665-48-1	may_treat			Spasm	C0037763	Spasm	Q6823309	Q6823309	Q6823309	Q574360
15793	Methamphetamine	NDFRT	C0025611	6809.0	537-46-2	may_treat			Narcolepsy	C0027404	Narcolepsy	Q191924	Q191924	Q191924	Q189561
15794	Methamphetamine	NDFRT	C0025611	6809.0	537-46-2	may_treat			Obesity	C0028754	Obesity	Q191924	Q191924	Q191924	Q12174
15818	methdilazine	NDFRT	C0066101	6823.0	1982-37-2	may_treat			Dermatitis, Allergic Contact	C0162820	Dermatitis, Allergic Contact	Q6665709	Q6665709	Q6665709	Q16242752
15819	methdilazine	NDFRT	C0066101	6823.0	1982-37-2	may_treat			Dermatitis, Atopic	C0011615	Dermatitis, Atopic	Q6665709	Q6665709	Q6665709	Q268667
15820	methdilazine	NDFRT	C0066101	6823.0	1982-37-2	may_treat			Eczema	C0013595	Eczema	Q6665709	Q6665709	Q6665709	Q988594
15821	methdilazine	NDFRT	C0066101	6823.0	1982-37-2	may_treat			Pityriasis Rosea	C0032026	Pityriasis Rosea	Q6665709	Q6665709	Q6665709	Q1125160
15822	methdilazine	NDFRT	C0066101	6823.0	1982-37-2	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q6665709	Q6665709	Q6665709	Q55136018
15826	Methenamine	NDFRT	C0025638	6824.0	100-97-0	may_treat			Bacteriuria	C0004659	Bacteriuria	Q71969	Q71969	Q71969	Q632522
15827	Methenamine	NDFRT	C0025638	6824.0	100-97-0	may_treat			Cystitis	C0010692	Cystitis	Q71969	Q71969	Q71969	Q246084
15831	Methicillin	NDFRT	C0025643	6827.0	61-32-5	may_treat			Osteomyelitis	C0029443	Osteomyelitis	Q409262	Q409262	Q409262	Q938983
15832	Methicillin	NDFRT	C0025643	6827.0	61-32-5	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q409262	Q409262	Q409262	Q3776920
15841	Methimazole	NDFRT	C0025644	50673.0	60-56-0	may_treat			Goiter	C0018021	Goiter	Q419663	Q419663	Q419663	Q165135
15842	Methimazole	NDFRT	C0025644	50673.0	60-56-0	may_treat			Thyroid Crisis	C0040127	Thyroid Crisis	Q419663	Q419663	Q419663	Q4458080
15903	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Leukemia	C0023418	Leukemia	Q422232	Q422232	Q422232	Q29496
15904	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Lung Neoplasms	C0024121	Lung Neoplasms	Q422232	Q422232	Q422232	Q18556020
15905	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Mycosis Fungoides	C0026948	Mycosis Fungoides	Q422232	Q422232	Q422232	Q1891209
15907	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Psoriasis	C0033860	Psoriasis	Q422232	Q422232	Q422232	Q179945
15908	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Stomach Neoplasms	C0038356	Stomach Neoplasms	Q422232	Q422232	Q422232	Q189588
15909	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Testicular Neoplasms	C0039590	Testicular Neoplasms	Q422232	Q422232	Q422232	Q324464
15910	Methotrexate	NDFRT	C0025677	44185.0	59-05-2	may_treat			Trophoblastic Neoplasms	C0041182	Trophoblastic Neoplasms	Q422232	Q422232	Q422232	Q7845637
15917	Methotrimeprazine	NDFRT	C0025678	6838.0	60-99-1	may_treat			Anxiety Disorders	C0003469	Anxiety Disorders	Q417204	Q417204	Q417204	Q544006
15918	Methotrimeprazine	NDFRT	C0025678	6838.0	60-99-1	may_treat			Pain	C0030193	Pain	Q417204	Q417204	Q417204	Q81938
15928	Methoxsalen	NDFRT	C0025684	18358.0	298-81-7	may_treat			Mycosis Fungoides	C0026948	Mycosis Fungoides	Q408570	Q408570	Q408570	Q1891209
15929	Methoxsalen	NDFRT	C0025684	18358.0	298-81-7	may_treat			Psoriasis	C0033860	Psoriasis	Q408570	Q408570	Q408570	Q179945
15930	Methoxsalen	NDFRT	C0025684	18358.0	298-81-7	may_treat			Vitiligo	C0042900	Vitiligo	Q408570	Q408570	Q408570	Q180152
15953	Methyclothiazide	NDFRT	C0025696	6847.0	135-07-9	may_treat			Edema	C0013604	Edema	Q6823919	Q6823919	Q6823919	Q152234
15955	Methyclothiazide	NDFRT	C0025696	6847.0	135-07-9	may_treat			Hypertension	C0020538	Hypertensive Disease	Q6823919	Q6823919	Q6823919	Q41861
15956	Methyclothiazide	NDFRT	C0025696	6847.0	135-07-9	may_treat			Nephrotic Syndrome	C0027726	Nephrotic Syndrome	Q6823919	Q6823919	Q6823919	Q504790
16011	Methylprednisolone	NDFRT	C0025815	6888.0	83-43-2	may_treat			Hematologic Diseases	C0018939	Hematological Disease	Q417222	Q417222	Q417222	Q1963588
16013	Methylprednisolone	NDFRT	C0025815	6888.0	83-43-2	may_treat			Inflammation	C0021368	Inflammation	Q417222	Q417222	Q417222	Q101991
16016	Methylprednisolone	NDFRT	C0025815	6888.0	83-43-2	may_treat			Respiratory Distress Syndrome, Adult	C0035222	Respiratory Distress Syndrome, Adult	Q417222	Q417222	Q417222	Q344873
16022	Methyltestosterone	NDFRT	C0025826	27436.0	58-18-4	may_treat			Hypogonadism	C0020619	Hypogonadism	Q421768	Q421768	Q421768	Q938107
16023	Methyltestosterone	NDFRT	C0025826	27436.0	58-18-4	may_treat			Impotence	C0242350	Erectile Dysfunction	Q421768	Q421768	Q421768	Q184674
16049	Metipranolol	NDFRT	C0041030	6897.0	22664-55-7	may_treat			Glaucoma, Open-Angle	C0017612	Glaucoma, Open-Angle	Q6593346	Q6593346	Q6593346	Q3108586
16054	Metoclopramide	NDFRT	C0025853	107736.0	364-62-5	may_treat			Gastroesophageal Reflux	C0017168	Gastroesophageal Reflux Disease	Q421095	Q421095	Q421095	Q223591
16055	Metoclopramide	NDFRT	C0025853	107736.0	364-62-5	may_treat			Gastroparesis	C0152020	Gastroparesis	Q421095	Q421095	Q421095	Q943897
16100	Metronidazole	DrugBank	C0025872	6909.0	443-48-1	treatment		74	For the treatment of anaerobic infections and mixed infections, surgical prophylaxis requiring anaerobic coverage, Clostridium difficile-associated diarrhea and colitis, Helicobacter pylori infection and duodenal ulcer disease, bacterial vaginosis, Giardia lamblia gastro-enteritis, amebiasis caused by Entamoeba histolytica, acne rosacea (topical treatment), and Trichomonas infections.	C0002438	Amebiasis	Q169569	Q169569	Q169569	Q949694
16101	Metronidazole	DrugBank	C0025872	6909.0	443-48-1	treatment		74	For the treatment of anaerobic infections and mixed infections, surgical prophylaxis requiring anaerobic coverage, Clostridium difficile-associated diarrhea and colitis, Helicobacter pylori infection and duodenal ulcer disease, bacterial vaginosis, Giardia lamblia gastro-enteritis, amebiasis caused by Entamoeba histolytica, acne rosacea (topical treatment), and Trichomonas infections.	C0085166	Bacterial Vaginosis	Q169569	Q169569	Q169569	Q804521
16102	Metronidazole	DrugBank	C0025872	6909.0	443-48-1	treatment		74	For the treatment of anaerobic infections and mixed infections, surgical prophylaxis requiring anaerobic coverage, Clostridium difficile-associated diarrhea and colitis, Helicobacter pylori infection and duodenal ulcer disease, bacterial vaginosis, Giardia lamblia gastro-enteritis, amebiasis caused by Entamoeba histolytica, acne rosacea (topical treatment), and Trichomonas infections.	C0013295	Duodenal Ulcer	Q169569	Q169569	Q169569	Q18968110
16105	Metronidazole	DrugBank	C0025872	6909.0	443-48-1	treatment		74	For the treatment of anaerobic infections and mixed infections, surgical prophylaxis requiring anaerobic coverage, Clostridium difficile-associated diarrhea and colitis, Helicobacter pylori infection and duodenal ulcer disease, bacterial vaginosis, Giardia lamblia gastro-enteritis, amebiasis caused by Entamoeba histolytica, acne rosacea (topical treatment), and Trichomonas infections.	C0035854	Rosacea	Q169569	Q169569	Q169569	Q831530
16106	Metronidazole	DrugBank	C0025872	6909.0	443-48-1	treatment		74	For the treatment of anaerobic infections and mixed infections, surgical prophylaxis requiring anaerobic coverage, Clostridium difficile-associated diarrhea and colitis, Helicobacter pylori infection and duodenal ulcer disease, bacterial vaginosis, Giardia lamblia gastro-enteritis, amebiasis caused by Entamoeba histolytica, acne rosacea (topical treatment), and Trichomonas infections.	C0040921	Trichomonas Infections	Q169569	Q169569	Q169569	Q745865
16111	Metronidazole	NDFRT	C0025872	6909.0	443-48-1	may_treat			Abscess	C0000833	Abscess	Q169569	Q169569	Q169569	Q164655
16112	Metronidazole	NDFRT	C0025872	6909.0	443-48-1	may_treat			Amebiasis	C0002438	Amebiasis	Q169569	Q169569	Q169569	Q949694
16114	Metronidazole	NDFRT	C0025872	6909.0	443-48-1	may_treat			Enterocolitis, Pseudomembranous	C0014358	Enterocolitis, Pseudomembranous	Q169569	Q169569	Q169569	Q574905
16115	Metronidazole	NDFRT	C0025872	6909.0	443-48-1	may_treat			Giardiasis	C0017536	Giardiasis	Q169569	Q169569	Q169569	Q326071
16117	Metronidazole	NDFRT	C0025872	6909.0	443-48-1	may_treat			Rosacea	C0035854	Rosacea	Q169569	Q169569	Q169569	Q831530
16120	Metronidazole	NDFRT	C0025872	6909.0	443-48-1	may_treat			Vaginosis, Bacterial	C0085166	Bacterial Vaginosis	Q169569	Q169569	Q169569	Q804521
16142	Mexiletine	NDFRT	C0025887	6916.0	31828-71-4	may_treat			Diabetic Neuropathies	C0011882	Diabetic Neuropathies	Q420377	Q420377	Q420377	Q2046550
16143	Mexiletine	NDFRT	C0025887	6916.0	31828-71-4	may_treat			Ventricular Fibrillation	C0042510	Ventricular Fibrillation	Q420377	Q420377	Q420377	Q848662
16152	Mezlocillin	NDFRT	C0025893	6919.0	51481-65-3	may_treat			Septicemia	C0036690	Septicemia	Q3307752	Q3307752	Q3307752	Q183134
16153	Mezlocillin	NDFRT	C0025893	6919.0	51481-65-3	may_treat			Skin Diseases, Infectious	C0037278	Skin Diseases, Infectious	Q3307752	Q3307752	Q3307752	Q2458539
16155	Mezlocillin	NDFRT	C0025893	6919.0	51481-65-3	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q3307752	Q3307752	Q3307752	Q55779861
16171	Mibefradil	NDFRT	C0286185	6920.0	116644-53-2	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q6827783	Q6827783	Q6827783	Q180762
16172	Mibefradil	NDFRT	C0286185	6920.0	116644-53-2	may_treat			Hypertension	C0020538	Hypertensive Disease	Q6827783	Q6827783	Q6827783	Q41861
16210	Midazolam	NDFRT	C0026056	6931.0	59467-70-8	may_treat			Anxiety Disorders	C0003469	Anxiety Disorders	Q423071	Q423071	Q423071	Q544006
16212	Midazolam	NDFRT	C0026056	6931.0	59467-70-8	may_treat			Status Epilepticus	C0038220	Status Epilepticus	Q423071	Q423071	Q423071	Q980709
16222	Midodrine	NDFRT	C0026078	6933.0	42794-76-3	may_treat			Urinary Incontinence	C0042024	Urinary Incontinence	Q415051	Q415051	Q415051	Q281490
16241	Mifepristone	NDFRT	C0026088	50692.0	84371-65-3	may_treat			Brain Neoplasms	C0006118	Brain Neoplasms	Q411240	Q411240	Q411240	Q18554460
16299	Minocycline	NDFRT	C0026187	50694.0	10118-90-8	may_treat			Meningococcal Infections	C0025303	Meningococcal Infections	Q415336	Q415336	Q415336	Q890785
16303	Minoxidil	NDFRT	C0026196	6942.0	38304-91-5	may_treat			Alopecia	C0002170	Alopecia	Q424165	Q424165	Q424165	Q181391
16367	Mitoxantrone	NDFRT	C0026259	50729.0	65271-80-9	may_treat			Leukemia, Myelocytic, Acute	C0023467	Leukemia, Myelocytic, Acute	Q239426	Q239426	Q239426	Q264118
16368	Mitoxantrone	NDFRT	C0026259	50729.0	65271-80-9	may_treat			Lymphoma	C0024299	Lymphoma	Q239426	Q239426	Q239426	Q208414
16369	Mitoxantrone	NDFRT	C0026259	50729.0	65271-80-9	may_treat			Multiple Sclerosis	C0026769	Multiple Sclerosis	Q239426	Q239426	Q239426	Q8277
16370	Mitoxantrone	NDFRT	C0026259	50729.0	65271-80-9	may_treat			Pain	C0030193	Pain	Q239426	Q239426	Q239426	Q81938
16398	moexipril	NDFRT	C0066685	6960.0	103775-10-6	may_prevent&treat			Diabetic Nephropathies	C0011881	Diabetic Nephropathy	Q2291605	Q2291605	Q2291605	Q1129105
16400	moexipril	NDFRT	C0066685	6960.0	103775-10-6	may_treat			Hypertension	C0020538	Hypertensive Disease	Q2291605	Q2291605	Q2291605	Q41861
16421	Molindone	NDFRT	C0026388	6965.0	7416-34-4	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q593166	Q593166	Q593166	Q170082
16422	Molindone	NDFRT	C0026388	6965.0	7416-34-4	may_treat			Schizophrenia	C0036341	Schizophrenia	Q593166	Q593166	Q593166	Q41112
16449	monobenzone	NDFRT	C0050962	34380.0	103-16-2	may_treat			Vitiligo	C0042900	Vitiligo	Q2768526	Q2768526	Q2768526	Q180152
16475	montelukast	NDFRT	C0298130	50730.0	158966-92-8	may_treat			Asthma	C0004096	Asthma	Q417767	Q417767	Q417767	Q35869
16476	montelukast	NDFRT	C0298130	50730.0	158966-92-8	may_treat			Rhinitis, Allergic, Perennial	C0035457	Rhinitis, Allergic, Perennial	Q417767	Q417767	Q417767	Q55136018
16487	Moricizine	NDFRT	C0079856	6997.0	31883-05-3	may_treat			Tachycardia, Ventricular	C0042514	Tachycardia, Ventricular	Q904071	Q904071	Q904071	Q56002
16488	Moricizine	NDFRT	C0079856	6997.0	31883-05-3	may_treat			Ventricular Fibrillation	C0042510	Ventricular Fibrillation	Q904071	Q904071	Q904071	Q848662
16498	Morphine	NDFRT	C0026549	17303.0	57-27-2	may_treat			Dyspnea	C0013404	Dyspnea	Q81225	Q81225	Q81225	Q188008
16510	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Cystitis	C0010692	Cystitis	Q424940	Q424940	Q424940	Q246084
16511	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q424940	Q424940	Q424940	Q18975220
16512	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Gonorrhea	C0018081	Gonorrhea	Q424940	Q424940	Q424940	Q101896
16515	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q424940	Q424940	Q424940	Q3776920
16518	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Pyelonephritis	C0034186	Pyelonephritis	Q424940	Q424940	Q424940	Q506652
16520	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Sinusitis	C0037199	Sinusitis	Q424940	Q424940	Q424940	Q183344
16521	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q424940	Q424940	Q424940	Q34879
16522	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q424940	Q424940	Q424940	Q11564537
16523	moxifloxacin	NDFRT	C0536495	63611.0	151096-09-2	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q424940	Q424940	Q424940	Q55779861
16537	Mupirocin	NDFRT	C0085259	7025.0	12650-69-0	may_treat			Impetigo	C0021099	Impetigo	Q413578	Q413578	Q413578	Q28971
16571	nabumetone	NDFRT	C0068334	7443.0	42924-53-8	may_treat			Arthritis, Rheumatoid	C0003873	Rheumatoid Arthritis	Q425207	Q425207	Q425207	Q187255
16572	nabumetone	NDFRT	C0068334	7443.0	42924-53-8	may_treat			Inflammation	C0021368	Inflammation	Q425207	Q425207	Q425207	Q101991
16574	nabumetone	NDFRT	C0068334	7443.0	42924-53-8	may_treat			Pain	C0030193	Pain	Q425207	Q425207	Q425207	Q81938
16617	Nafcillin	NDFRT	C0027324	7447.0	147-52-4	may_treat			Cellulitis	C0007642	Cellulitis	Q1638852	Q1638852	Q1638852	Q876887
16620	Nafcillin	NDFRT	C0027324	7447.0	147-52-4	may_treat			Meningitis, Bacterial	C0085437	Meningitis, Bacterial	Q1638852	Q1638852	Q1638852	Q3678510
